Experiment,Neurons,Learning Rate,Loss Function,Batch Size,LR Scheduler,MAE,MSE,RMSE,R²
21,32,0.01,mse,32,False,0.05260972391299113,0.004318913494559295,0.06571844105393322,0.6392176675708829
22,32,0.01,mse,32,True,0.05080697149765198,0.004079908610488093,0.06387416230752536,0.6591830453553152
23,32,0.01,mse,64,False,0.047710708387014314,0.003839447308485048,0.06196327386835728,0.6792700856502618
24,32,0.01,mse,64,True,0.0415729022914478,0.003488787377357905,0.059065957855247764,0.7085626167465331
25,32,0.0001,mae,16,False,0.05306223427377095,0.005850248072579869,0.07648691438788643,0.5112969621704162
26,32,0.0001,mae,16,True,0.043719621959740544,0.004523569143147331,0.06725748391924374,0.6221216682332256
27,32,0.0001,mae,32,False,0.431446203479397,0.21010041114124506,0.4583671139395202,-16.550829964838083
28,32,0.0001,mae,32,True,0.082827377849155,0.009692700069798303,0.09845151126213504,0.19031604982990546
29,32,0.0001,mae,64,False,0.4140562983991977,0.18637303719275172,0.4317094360710126,-14.568753378599627
30,32,0.0001,mae,64,True,0.06025916103990423,0.008713333712775448,0.09334523936856902,0.2721278478745819
31,32,0.0001,mse,16,False,0.06367822035541378,0.005758315663518147,0.07588356649181789,0.5189765762698646
32,32,0.0001,mse,16,True,0.06227375064438919,0.005857240780619176,0.07653261252968682,0.5107128232383455
33,32,0.0001,mse,32,False,0.3474974575283405,0.13600435690563697,0.3687876854039963,-10.361183586277114
34,32,0.0001,mse,32,True,0.12796871645583047,0.025717323373145938,0.1603662164333434,-1.148307883935566
35,32,0.0001,mse,64,False,0.0754295354871569,0.008707631353864622,0.09331468991463575,0.2726041969264412
36,32,0.0001,mse,64,True,0.1247067401539989,0.023206521785526853,0.15233686942275942,-0.9385669724333832
37,50,0.001,mae,16,False,0.04435190668435598,0.003923895298677483,0.0626410033338985,0.6722156857626607
38,50,0.001,mae,16,True,0.044930078951000825,0.004034522718520488,0.06351789290050866,0.6629743757406253
39,50,0.001,mae,32,False,0.04516342918885754,0.004050315101062292,0.06364208592639223,0.6616551521407033
40,50,0.001,mae,32,True,0.052366725710349324,0.004408803574629336,0.0663988220876646,0.6317086603192297
41,50,0.001,mae,64,False,0.04705604126944449,0.0043184438869109274,0.06571486808105854,0.6392568964516925
42,50,0.001,mae,64,True,0.09084131819768973,0.010670830478780721,0.10329971190076341,0.10860749724669794
43,50,0.001,mse,16,False,0.0670417281072637,0.006046514704004748,0.07775933837170136,0.4949017430597127
44,50,0.001,mse,16,True,0.047558866992067815,0.004113914821567423,0.06413980684073989,0.6563423216025166
45,50,0.001,mse,32,False,0.04949155162666545,0.00444095335070069,0.06664047831986719,0.6290230146787905
46,50,0.001,mse,32,True,0.07012302580241589,0.007050504925255722,0.08396728485104019,0.411032979720216
47,50,0.001,mse,64,False,0.05906795306257437,0.005876739738756258,0.07665989654804041,0.509083969220895
48,50,0.001,mse,64,True,0.05524049126843448,0.00521225782711829,0.07219596821927309,0.5645917570568186
49,50,0.01,mae,16,False,0.033318331532362015,0.0025873462039256666,0.050865963118038635,0.7838649004130666
50,50,0.01,mae,16,True,0.031161359561491127,0.002502530884002731,0.05002530243789367,0.7909499853507636
51,50,0.01,mae,32,False,0.029948212885598173,0.002512882993683422,0.05012866439157762,0.7900852173296243
52,50,0.01,mae,32,True,0.029271615798557346,0.0023705511963322537,0.04868830656669272,0.8019749664278342
53,50,0.01,mae,64,False,0.029837384798985504,0.002578554053530758,0.050779464880311195,0.7845993565512918
54,50,0.01,mae,64,True,0.030089085865311498,0.00260007874411954,0.05099096727970102,0.7828012820852904
55,50,0.01,mse,16,False,0.039357843555732124,0.0030367443828187225,0.0551066636879672,0.7463242264971195
56,50,0.01,mse,16,True,0.0355538758086318,0.0028124498777075597,0.05303253602938068,0.7650607663252451
57,50,0.01,mse,32,False,0.03660218193602107,0.0029143308550936666,0.05398454274228565,0.7565500942087923
58,50,0.01,mse,32,True,0.03696508960833715,0.0030741908788765324,0.05544538645258532,0.7431961170302237
59,50,0.01,mse,64,False,0.06529773586810768,0.006304896478923908,0.07940337825888712,0.4733177082023481
60,50,0.01,mse,64,True,0.040937602080626835,0.003230517069729372,0.056837637791602245,0.7301373401349014
61,50,0.0001,mae,16,False,0.0515831776863837,0.005230491723076564,0.07232213854053657,0.5630685805631511
62,50,0.0001,mae,16,True,0.04513378436730158,0.004860573693249074,0.06971781474809056,0.5939698453782187
63,50,0.0001,mae,32,False,0.19276554958445594,0.04620876933423464,0.21496225095173022,-2.8600698069284625
64,50,0.0001,mae,32,True,0.11661831079298243,0.019847803127161407,0.1408822314103571,-0.6579949366505897
65,50,0.0001,mae,64,False,0.20970742083015806,0.05233482831689648,0.22876806664588586,-3.371812830063176
66,50,0.0001,mae,64,True,0.2415362474960364,0.06803348922988192,0.26083230097110655,-4.683207352629004
67,50,0.0001,mse,16,False,0.05870522685167264,0.005972674830406635,0.07728308243339312,0.5010699892763961
68,50,0.0001,mse,16,True,0.09847900308890717,0.015142625493295465,0.12305537571880176,-0.26494585998398534
69,50,0.0001,mse,32,False,0.05936856313934169,0.005370429946618133,0.07328321735989853,0.5513787797026071
70,50,0.0001,mse,32,True,0.11433810991808005,0.0200670727353668,0.1416582956814277,-0.676311719512487
71,50,0.0001,mse,64,False,0.27466286496741343,0.08586794935701647,0.2930323350024984,-6.173016799006502
72,50,0.0001,mse,64,True,0.1950893728770215,0.049856857432942096,0.22328649182819388,-3.164814445786501
73,64,0.001,mae,16,False,0.04091492423116351,0.003609629183669965,0.06008018961080237,0.6984680434722284
74,64,0.001,mae,16,True,0.04361209575561324,0.004144782737617419,0.06437998708929211,0.6537637567010031
75,64,0.001,mae,32,False,0.044279678597198245,0.004193918085269058,0.06476046699390808,0.6496592138911492
76,64,0.001,mae,32,True,0.03596623936562034,0.003551667488939736,0.05959586805257338,0.7033098990552724
77,64,0.001,mae,64,False,0.04364048335933425,0.004244983501404434,0.06515353790397291,0.645393441964253
78,64,0.001,mae,64,True,0.041138379253184545,0.003658155479866029,0.06048268743918402,0.6944143780427594
79,64,0.001,mse,16,False,0.061907893626024384,0.00539740252040806,0.07346701654761857,0.5491256139247314
80,64,0.001,mse,16,True,0.04921976414072479,0.004281596361663919,0.06543390834776659,0.6423349706292845
